"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 16 09:43:32 UTC 2026","Tue Jun 16 09:43:32 UTC 2026","11","tests","test_grade_statistics","TestGradeStatistics","","","Статистика для несуществующей группы",""
"passed","Tue Jun 16 09:43:24 UTC 2026","Tue Jun 16 09:43:24 UTC 2026","225","tests","test_grade_create","TestGradeCreate","","","Создание и обновление оценки",""
"passed","Tue Jun 16 09:43:29 UTC 2026","Tue Jun 16 09:43:30 UTC 2026","591","tests","test_grade_statistics","TestGradeStatistics","","","Общая статистика всех оценок",""
"passed","Tue Jun 16 09:43:33 UTC 2026","Tue Jun 16 09:43:33 UTC 2026","11","tests","test_teacher_create","TestTeacherCreate","","","Создание учителя с валидными данными",""
"passed","Tue Jun 16 09:43:23 UTC 2026","Tue Jun 16 09:43:23 UTC 2026","213","tests","test_grade_create","TestGradeCreate","","","Создание оценки студента",""
"passed","Tue Jun 16 09:43:31 UTC 2026","Tue Jun 16 09:43:31 UTC 2026","11","tests","test_grade_statistics","TestGradeStatistics","","","Статистика для несуществующего учителя",""
"passed","Tue Jun 16 09:43:31 UTC 2026","Tue Jun 16 09:43:31 UTC 2026","12","tests","test_grade_statistics","TestGradeStatistics","","","Статистика для несуществующего студента",""
"skipped","Tue Jun 16 09:43:32 UTC 2026","Tue Jun 16 09:43:32 UTC 2026","3","tests","test_group_contract","TestGroupContract","","","Создание группы без авторизации возвращает 403",""
"passed","Tue Jun 16 09:43:25 UTC 2026","Tue Jun 16 09:43:25 UTC 2026","593","tests","test_grade_statistics","TestGradeStatistics","","","Статистика оценок для студента",""
"passed","Tue Jun 16 09:43:26 UTC 2026","Tue Jun 16 09:43:29 UTC 2026","2765","tests","test_grade_statistics","TestGradeStatistics","","","Статистика оценок, проверка фильтрации",""
"passed","Tue Jun 16 09:43:33 UTC 2026","Tue Jun 16 09:43:33 UTC 2026","65","tests","test_student_create","TestStudentCreate","","","Создание студента в существующей группе",""
